exam_type,year,college_code,college_name,course_code,course_name,category,total_seats,category_seats,tuition_fee,other_fee,total_fee,closing_rank_mock,closing_rank_r1,closing_rank_r2,closing_rank_r3,closing_rank_r4
COMEDK,2025,E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",CI,Computer Science & Engineering (Artificial & Machine Learning),GM,54,45,130000,20000,150000,111733,106210,,91347,84459
COMEDK,2025,E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",CI,Computer Science & Engineering (Artificial & Machine Learning),KKR,54,9,130000,20000,150000,,,,,
COMEDK,2025,E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",CS,Computer Science & Engineering,GM,54,45,130000,20000,150000,,68040,,111733,
COMEDK,2025,E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",CS,Computer Science & Engineering,KKR,54,9,130000,20000,150000,,100736,,,
COMEDK,2025,E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",CY,Computer Science & Engineering (Cyber Security),GM,36,30,130000,20000,150000,39940,108734,,104762,
COMEDK,2025,E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",CY,Computer Science & Engineering (Cyber Security),KKR,36,6,130000,20000,150000,,,,,
COMEDK,2025,E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",EC,Electronics & Communication Engineering,GM,27,22,90000,20000,110000,99522,100871,,,
COMEDK,2025,E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",EC,Electronics & Communication Engineering,KKR,27,5,90000,20000,110000,,,,,
COMEDK,2025,E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",IS,Information Science & Engineering,GM,27,22,80000,20000,100000,97311,78415,,,
COMEDK,2025,E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",IS,Information Science & Engineering,KKR,27,5,80000,20000,100000,,,,,
COMEDK,2025,E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",ME,Mechanical Engineering,GM,9,8,55000,20000,75000,,68496,,,
COMEDK,2025,E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",ME,Mechanical Engineering,KKR,9,1,55000,20000,75000,,,,,
COMEDK,2025,E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",AG,Agricultural Engineering,GM,18,16,80000,20000,100000,102792,109807,,,
COMEDK,2025,E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",AG,Agricultural Engineering,KKR,18,2,80000,20000,100000,,,,,
COMEDK,2025,E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",AI,Artificial Intelligence & Machine Learning,GM,36,33,200000,20000,220000,109512,109512,,89891,
COMEDK,2025,E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",AI,Artificial Intelligence & Machine Learning,KKR,36,3,200000,20000,220000,,,,,
COMEDK,2025,E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",CD,Computer Science & Engineering (Data Science),GM,18,16,200000,20000,220000,,108885,,56170,
COMEDK,2025,E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",CD,Computer Science & Engineering (Data Science),KKR,18,2,200000,20000,220000,,,,,
COMEDK,2025,E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",CG,Computer Science & Design,GM,18,16,200000,20000,220000,,,,,
COMEDK,2025,E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",CG,Computer Science & Design,KKR,18,2,200000,20000,220000,,,,,
COMEDK,2025,E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",CS,Computer Science & Engineering,GM,72,66,200000,20000,220000,,110618,,107931,
COMEDK,2025,E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",CS,Computer Science & Engineering,KKR,72,6,200000,20000,220000,,,,,
COMEDK,2025,E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",CV,Civil Engineering,GM,18,16,60000,20000,80000,,,,,
COMEDK,2025,E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",CV,Civil Engineering,KKR,18,2,60000,20000,80000,,,,,
COMEDK,2025,E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",EC,Electronics & Communication Engineering,GM,36,33,200000,20000,220000,91746,110471,,,
COMEDK,2025,E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",EC,Electronics & Communication Engineering,KKR,36,3,200000,20000,220000,,,,,
COMEDK,2025,E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",IC,Computer Science & Engineering (IOT & Cyber Including Block Chain Technology),GM,18,16,200000,20000,220000,105112,105112,,75282,
COMEDK,2025,E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",IC,Computer Science & Engineering (IOT & Cyber Including Block Chain Technology),KKR,18,2,200000,20000,220000,,,,,
COMEDK,2025,E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",IS,Information Science & Engineering,GM,18,16,200000,20000,220000,,105816,,,
COMEDK,2025,E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",IS,Information Science & Engineering,KKR,18,2,200000,20000,220000,,,,,
COMEDK,2025,E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",ME,Mechanical Engineering,GM,18,16,80000,20000,100000,,59506,,,
COMEDK,2025,E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",ME,Mechanical Engineering,KKR,18,2,80000,20000,100000,,,,,
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",AE,Aeronautical Engineering,GM,18,16,125000,20000,145000,,65679,,95021,
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",AE,Aeronautical Engineering,KKR,18,2,125000,20000,145000,,101846,,,
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",AI,Artificial Intelligence & Machine Learning,GM,54,49,200000,20000,220000,68207,61086,,109229,103040
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",AI,Artificial Intelligence & Machine Learning,KKR,54,5,200000,20000,220000,88135,109296,,,
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",CD,Computer Science & Engineering (Data Science),GM,36,33,175000,20000,195000,,69322,,92944,
